source,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,target
Malaysia,980.0,1150.0,1400.0,2000.0,1750.0,1450.0,1390.0,1660.0,1580.0,490.0,950.0,1640.0,1530.0,1100.0,270.0,610.0,-430.0,190.0,Western Australia
Malaysia,1650.0,1610.0,1920.0,2340.0,2110.0,1770.0,1530.0,1690.0,1410.0,1700.0,3640.0,6830.0,6520.0,5430.0,1360.0,20.0,-2940.0,1120.0,Victoria
Malaysia,70.0,30.0,80.0,90.0,100.0,60.0,40.0,120.0,10.0,40.0,60.0,180.0,100.0,50.0,0.0,20.0,-50.0,40.0,Tasmania
Malaysia,410.0,330.0,440.0,520.0,570.0,510.0,260.0,200.0,240.0,190.0,250.0,360.0,320.0,250.0,330.0,220.0,-190.0,260.0,South Australia
Malaysia,520.0,470.0,690.0,950.0,990.0,930.0,710.0,580.0,470.0,410.0,590.0,880.0,800.0,340.0,90.0,270.0,-350.0,330.0,Queensland
Malaysia,10.0,10.0,40.0,30.0,30.0,20.0,10.0,20.0,20.0,30.0,10.0,-10.0,30.0,20.0,20.0,-10.0,0.0,-10.0,Northern Territory
Malaysia,870.0,1160.0,1420.0,1310.0,1040.0,630.0,750.0,720.0,660.0,790.0,1120.0,2160.0,2780.0,2320.0,1110.0,380.0,-430.0,310.0,New South Wales
Malaysia,0.0,90.0,90.0,80.0,120.0,70.0,60.0,50.0,50.0,10.0,60.0,60.0,110.0,80.0,40.0,20.0,-70.0,50.0,Australian Capital Territory
India,830.0,1080.0,1680.0,3340.0,5220.0,2800.0,1570.0,3000.0,3430.0,3310.0,3610.0,4040.0,3740.0,3480.0,5110.0,4420.0,-660.0,1350.0,Western Australia
India,6540.0,9500.0,17880.0,20860.0,25780.0,9280.0,2850.0,6190.0,7400.0,10980.0,13490.0,15140.0,20520.0,23570.0,31670.0,24270.0,-6390.0,16420.0,Victoria
India,80.0,100.0,170.0,190.0,190.0,110.0,70.0,100.0,120.0,160.0,340.0,170.0,230.0,330.0,670.0,490.0,-50.0,490.0,Tasmania
India,1020.0,1560.0,2460.0,3260.0,4750.0,2570.0,890.0,1300.0,1710.0,1970.0,2490.0,2560.0,2630.0,3570.0,4860.0,5240.0,-470.0,3140.0,South Australia
India,1310.0,1580.0,2760.0,6940.0,10090.0,3690.0,410.0,2010.0,2940.0,5680.0,4780.0,4170.0,4470.0,5260.0,7680.0,6380.0,-1230.0,2720.0,Queensland
India,50.0,100.0,130.0,160.0,200.0,170.0,140.0,360.0,320.0,280.0,370.0,360.0,410.0,310.0,290.0,380.0,-30.0,230.0,Northern Territory
India,6340.0,7770.0,11650.0,14640.0,13180.0,4940.0,3150.0,5270.0,7330.0,10300.0,12400.0,13750.0,17020.0,18530.0,21970.0,17610.0,-1650.0,13160.0,New South Wales
India,170.0,140.0,330.0,390.0,560.0,520.0,150.0,530.0,420.0,660.0,920.0,670.0,710.0,800.0,950.0,1030.0,-170.0,620.0,Australian Capital Territory
China,960.0,1260.0,1600.0,2350.0,2260.0,2020.0,1700.0,1800.0,2110.0,1740.0,1780.0,1650.0,1520.0,1170.0,820.0,830.0,-1750.0,130.0,Western Australia
China,5890.0,6090.0,8450.0,11550.0,11140.0,9290.0,5900.0,5590.0,7560.0,10790.0,13990.0,16460.0,17850.0,16540.0,8260.0,-4990.0,-21680.0,5550.0,Victoria
China,250.0,270.0,280.0,310.0,330.0,350.0,110.0,150.0,150.0,180.0,280.0,410.0,650.0,700.0,600.0,-310.0,-400.0,190.0,Tasmania
China,1490.0,2090.0,2420.0,2620.0,2540.0,2650.0,1230.0,1080.0,1240.0,1960.0,2760.0,2920.0,2880.0,1920.0,1400.0,-1080.0,-2050.0,1070.0,South Australia
China,2140.0,2190.0,2930.0,3440.0,3870.0,3630.0,2410.0,1780.0,2530.0,3160.0,4190.0,5160.0,6160.0,5520.0,2360.0,-1090.0,-6030.0,1400.0,Queensland
China,20.0,30.0,100.0,160.0,170.0,90.0,50.0,80.0,130.0,110.0,60.0,120.0,190.0,160.0,90.0,-40.0,-60.0,20.0,Northern Territory
China,8030.0,7690.0,11700.0,15350.0,12560.0,9550.0,5950.0,4650.0,8510.0,12160.0,14880.0,17420.0,19250.0,17090.0,6520.0,-10240.0,-16630.0,6070.0,New South Wales
China,320.0,340.0,400.0,570.0,730.0,740.0,330.0,390.0,360.0,710.0,1160.0,1340.0,1510.0,1510.0,120.0,-1670.0,-1670.0,700.0,Australian Capital Territory
